N_elements, M Elements/s, GFlop/s, GB/s(Comp), GB/s(H->D), GB/s(D->H)
1000, 3.810932, 0.262954, 0.762186, 1.684683, 0.589129
1500, 5.647824, 0.389700, 1.129565, 0.498465, 0.747565
2250, 7.828456, 0.540163, 1.565691, 0.763557, 1.287968
3375, 9.582487, 0.661192, 1.916497, 1.038049, 1.636153
5062, 11.886284, 0.820154, 2.377257, 1.401839, 2.175896
7593, 13.390047, 0.923913, 2.678009, 1.844889, 2.672459
11389, 15.703984, 1.083575, 3.140797, 2.589341, 3.576394
17083, 18.302652, 1.262883, 3.660530, 3.446006, 4.297382
25624, 20.581857, 1.420148, 4.116371, 3.880138, 5.105868
38436, 23.320452, 1.609111, 4.664090, 4.725956, 5.394757
57654, 26.489500, 1.827776, 5.297900, 4.713712, 5.021357
86481, 26.800756, 1.849252, 5.360151, 4.627656, 4.922101
129721, 25.424169, 1.754268, 5.084834, 4.287219, 4.734643
194581, 25.243004, 1.741767, 5.048601, 4.272816, 4.641123
291871, 25.759247, 1.777388, 5.151849, 4.394039, 4.626357
437806, 27.399448, 1.890562, 5.479890, 4.370195, 4.604508
656709, 33.663569, 2.322786, 6.732714, 5.662884, 5.777259
985063, 31.639384, 2.183118, 6.327877, 5.659506, 5.757696
1477594, 35.899036, 2.477033, 7.179807, 5.678201, 3.364910
2216391, 34.860070, 2.405345, 6.972014, 5.111857, 2.543070
3324586, 36.637428, 2.527983, 7.327486, 5.694416, 5.699275
4986879, 19.587066, 1.351508, 3.917413, 3.444899, 4.651359
7480318, 34.028581, 2.347972, 6.805716, 5.761057, 3.390504
11220477, 32.623389, 2.251014, 6.524678, 4.242734, 5.766261
16830716, 35.799234, 2.470147, 7.159847, 4.351680, 5.733925